Date,Open,High,Low,Close,Volume,Market Cap
"May 17, 2016",454.01,455.07,453.61,453.78,64100300,706073e4
"May 16, 2016",457.59,458.2,452.94,454.16,59171500,711474e4
"May 15, 2016",455.76,458.69,455.46,457.57,28514e3,708476e4
"May 14, 2016",455.82,456.84,454.79,455.67,37209e3,70841e5
"May 13, 2016",454.85,457.06,453.45,455.67,60845e3,706727e4
"May 12, 2016",452.45,454.95,449.25,454.77,59849300,702833e4
"May 11, 2016",450.86,454.58,450.86,452.73,50605200,700223e4
"May 10, 2016",460.52,461.93,448.95,450.89,58956100,715037e4
"May 09, 2016",458.21,462.48,456.53,460.48,55493100,711251e4
"May 08, 2016",458.43,459.42,455.98,458.55,40315e3,711406e4
"May 07, 2016",459.64,460.68,457.32,458.54,38364500,713112e4
"May 06, 2016",447.94,461.38,447.07,459.6,72796800,69478e5
"May 05, 2016",446.71,448.51,445.88,447.98,50440800,692699e4
"May 04, 2016",450.18,450.38,445.63,446.72,50407300,697895e4
"May 03, 2016",444.73,451.1,442.62,450.3,59366400,689269e4
"May 02, 2016",451.93,452.44,441.78,444.67,92127e3,700261e4
"May 01, 2016",448.48,452.48,447.93,451.88,40660100,694743e4
"Apr 30, 2016",455.18,455.59,447.7,448.32,69322600,704946e4
"Apr 29, 2016",449.41,455.38,446.02,455.1,49258500,695833e4
"Apr 28, 2016",445.04,449.55,436.65,449.01,74064700,688917e4
"Apr 27, 2016",466.26,467.08,444.13,444.69,93564900,721619e4
"Apr 26, 2016",461.65,467.96,461.62,466.09,78971900,714306e4
"Apr 25, 2016",459.12,466.62,453.59,461.43,87091800,710249e4
"Apr 24, 2016",450.56,460.15,448.93,458.56,68198400,696857e4
"Apr 23, 2016",445.86,450.28,444.33,450.28,50485400,689428e4
"Apr 22, 2016",449.69,449.81,444.15,445.74,58804400,695186e4
"Apr 21, 2016",441.42,450.55,440.95,449.43,68204700,682232e4
"Apr 20, 2016",435.32,443.05,434.41,441.39,72890100,672637e4
"Apr 19, 2016",428.7,436.02,428.1,435.51,52810500,662245e4
"Apr 18, 2016",427.61,429.27,427.09,428.59,55670900,660415e4
"Apr 17, 2016",430.64,431.37,426.08,427.4,52125900,664917e4
