Close,btc_difficulty,Volume
1755.36,521974519553,116792e4
1723.35,521974519553,134032e4
1596.71,521974519553,108003e4
1578.8,521974519553,58253e4
1555.45,521974519553,946036e3
1537.67,521974519553,933549e3
1490.09,521974519553,583796e3
1452.82,521974519553,477338e3
1421.6,521974519553,713624e3
1347.89,521974519553,413115e3
1321.79,521974519553,422706e3
1316.48,521974519553,527489e3
1317.73,521839702599,449197e3
1281.08,520808749422,329631e3
1265.49,520808749422,242556e3
1250.15,520808749422,235806e3
1207.21,520808749422,258951e3
1231.71,520808749422,24932e4
1222.05,520808749422,272167e3
1229.08,520808749422,315108e3
1210.29,520808749422,288061e3
1211.67,520808749422,270524e3
1193.91,520808749422,253206e3
1182.94,520808749422,183231e3
1172.52,520808749422,203559e3
1167.54,520808749422,254827e3
